# fs_open=3788.41 fs_closed=3788.42 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-30 14:57:12
# pixel_scale=15.5
# stat 0 0.112782 0.0334345 -2.20291e-05 0.00519065
# stat 1 0.163897 0.0319975 -1.75485e-05 0.00623465
# config ATTENUATION PAR-1 -- first closed-loop attenuation run through the PARPORT DAC (TI DAC81404 over the StarTech PEX1P2 / AX99100 PCIe parallel card, spi link, mmio backend), replacing the DAQC2/BRIDGEplate serial path used by every previous attenuation run.
# config TRANSPORT: bit-banged 24-bit SPI, ~6.4 us per channel update (~12.8 us for both channels), against the BRIDGEplate's ~0.5-1.4 ms. DAC range is FIXED at +-5 V bipolar (153 uV/LSB) with the mirror parked at 0 V, matching the bode sweeps exactly; auto-ranging is off, so the actuator is a fixed-gain element for both phases of the A/B and the open/closed comparison is clean. Supplies +/-12 V: AVDD needs VMAX+1.5 = 11.5 V for +-10, AVSS -11.5 V, leaving only 0.5 V of margin -- meter the rails under load. AVSS is therefore NEGATIVE, not grounded, which means the 0-5 base range runs outside the AVSS = 0 V condition SLASEH2A 7.5 gives the unipolar figures at (see _avss_tradeoff); 16-bit = 76 uV/LSB in 0-5, 305 uV/LSB in +-10, vs the BRIDGEplate's 12-bit 1 mV.
# config OUTPUTS: two channels, no coarse stage -- ch0 = y/tip (+1.0 V/unit), ch1 = x/tilt (-1.0 V/unit), offset 0 V, symmetric command bounds +-1 V (59 px of authority against a +-16 px ROI; the mirror's full range is deliberately NOT given to the loop on this first run). NOTE the command->FSM voltage mapping is NOT the same as any previous attenuation run, so K is not comparable across the transport change and was re-measured -- and it came out 4.7-5.5x HIGHER, not lower as this file originally predicted, so nothing about the piplate-era gains carries over.
# config Camera/CoM: 32x32 ROI start_x 1840 / start_y 680, exposure 50, gain 100, bw 100, 20x20 tracked window thr 5 (the camera is now shrouded, so the background floor no longer needs a high threshold).
# config FSP: broad_order 512, broad_mu .03, broad_lp 5 (retuned: the shorter delay moved the regeneration band from ~325 Hz to ~700 Hz); adapt_period 8, adapt_tau 5. Guard ON (guard_ratio 4).
# config DELAY AND K: BOTH re-fit for this transport 2026-07-30 from conf_bode_par_x/y.json (+/-100 mV sweep, full-band 5-300 Hz phase slope for tau, <=30 Hz plateau for K). Kx 3.787 +/- 0.008, Ky 3.636 +/- 0.005; delay x 2.717 fr, y 2.577 fr at fs 3788. Against the piplate era that is 4.7-5.5x MORE loop gain and LESS THAN HALF the delay -- the shorter delay is the entire reason to expect better rejection here.
# config COMPARE against attenuation_fsp21 and attenuation_fsp15 (run 15: y 0.073 / x 0.168 px): report total and per-band closed RMS, 60-400 Hz waterbed, command/clamp behavior, and transient activation count on the shared 500/500/4096 grid. Closed RMS in PIXELS remains comparable across the change; command units do not. refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 4.21398e-06 4.53191e-09 -29.6841 4.31986e-06 2.22582e-09 -32.8798
0.924907 1.44726e-05 4.76378e-09 -34.826 1.43632e-05 2.45091e-09 -37.6792
1.84981 4.17453e-06 4.19958e-09 -29.974 4.08436e-06 2.96645e-09 -31.3889
2.77472 2.32121e-06 2.15713e-08 -20.3184 1.93437e-06 8.22347e-09 -23.7148
3.69963 2.72778e-06 8.80769e-08 -14.9095 2.22832e-06 2.50421e-08 -19.4931
4.62453 4.91794e-06 2.92578e-07 -12.2554 3.32969e-06 9.60108e-08 -15.4008
5.54944 8.5986e-06 1.20892e-06 -8.5203 3.73916e-06 3.48764e-07 -10.3024
6.47435 6.56417e-06 7.35802e-07 -9.50419 3.13503e-06 2.83093e-07 -10.4431
7.39925 8.12574e-06 5.46599e-08 -21.7219 7.23542e-06 1.66549e-07 -16.3792
8.32416 2.57964e-05 1.46745e-07 -22.4499 3.31065e-05 5.56114e-07 -17.7475
9.24907 5.61465e-05 4.85943e-07 -20.6274 5.17658e-05 8.48251e-07 -17.8552
10.174 3.52634e-05 2.81891e-07 -20.9724 1.99783e-05 2.17043e-07 -19.6401
11.0989 8.67634e-06 2.00688e-07 -16.3581 1.18284e-05 1.54572e-07 -18.8379
12.0238 1.60262e-05 7.93214e-07 -13.0544 2.64285e-05 6.41316e-07 -16.15
12.9487 7.20665e-06 4.02254e-07 -12.5323 2.16354e-05 6.89371e-07 -14.9671
13.8736 1.22785e-06 6.42596e-08 -12.8121 9.64473e-06 2.83482e-07 -15.3177
14.7985 6.93509e-07 2.6098e-08 -14.2444 2.85315e-06 4.45754e-08 -18.0623
15.7234 4.69861e-07 2.49362e-08 -12.7514 1.08373e-06 1.76412e-08 -17.8839
16.6483 8.95678e-07 3.96341e-08 -13.5408 8.29252e-07 1.29935e-08 -18.0496
17.5732 1.90225e-06 5.06662e-08 -15.7455 1.82798e-06 2.6812e-08 -18.3364
18.4981 1.15985e-05 7.1599e-08 -22.0949 9.99068e-06 2.32917e-07 -16.3239
19.423 4.16453e-05 2.17907e-07 -22.813 3.75748e-05 8.89603e-07 -16.257
20.3479 5.15469e-05 1.22645e-07 -26.2355 3.9499e-05 2.80831e-07 -21.4814
21.2729 0.000146612 1.81619e-07 -29.0701 0.000111602 1.14836e-07 -29.8759
22.1978 6.21975e-05 1.0954e-07 -27.542 4.75395e-05 2.43295e-07 -22.9092
23.1227 2.43995e-05 9.27819e-08 -24.1992 1.09046e-05 2.55662e-07 -16.2995
24.0476 1.32168e-05 8.79886e-08 -21.767 3.13014e-06 1.52402e-07 -13.1257
24.9725 1.65271e-05 1.72919e-07 -19.8035 3.11294e-06 2.35299e-07 -11.2155
25.8974 2.51196e-05 2.70636e-07 -19.6763 5.1342e-06 2.8888e-07 -12.4975
26.8223 3.88032e-05 3.04257e-07 -21.0563 7.36228e-06 1.82768e-07 -16.0511
