# fs_open=3788.11 fs_closed=3788.34 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-30 16:13:25
# pixel_scale=15.5
# stat 0 -0.112462 0.0302287 5.04603e-06 0.00364342
# stat 1 0.228029 0.0204013 -1.4104e-05 0.00574844
# config ATTENUATION PAR-3 -- BASELINE REPEAT of PAR-1 (identical fsp settings), the A in an A/B/A through the PARPORT DAC (TI DAC81404 over the StarTech PEX1P2 / AX99100 PCIe parallel card, spi link, mmio backend), replacing the DAQC2/BRIDGEplate serial path used by every previous attenuation run.
# config TRANSPORT: bit-banged 24-bit SPI, ~6.4 us per channel update (~12.8 us for both channels), against the BRIDGEplate's ~0.5-1.4 ms. DAC range is FIXED at +-5 V bipolar (153 uV/LSB) with the mirror parked at 0 V, matching the bode sweeps exactly; auto-ranging is off, so the actuator is a fixed-gain element for both phases of the A/B and the open/closed comparison is clean. Supplies +/-12 V: AVDD needs VMAX+1.5 = 11.5 V for +-10, AVSS -11.5 V, leaving only 0.5 V of margin -- meter the rails under load. AVSS is therefore NEGATIVE, not grounded, which means the 0-5 base range runs outside the AVSS = 0 V condition SLASEH2A 7.5 gives the unipolar figures at (see _avss_tradeoff); 16-bit = 76 uV/LSB in 0-5, 305 uV/LSB in +-10, vs the BRIDGEplate's 12-bit 1 mV.
# config OUTPUTS: two channels, no coarse stage -- ch0 = y/tip (+1.0 V/unit), ch1 = x/tilt (-1.0 V/unit), offset 0 V, symmetric command bounds +-1 V (59 px of authority against a +-16 px ROI; the mirror's full range is deliberately NOT given to the loop on this first run). NOTE the command->FSM voltage mapping is NOT the same as any previous attenuation run, so K is not comparable across the transport change and was re-measured -- and it came out 4.7-5.5x HIGHER, not lower as this file originally predicted, so nothing about the piplate-era gains carries over.
# config Camera/CoM: 32x32 ROI start_x 1840 / start_y 680, exposure 50, gain 100, bw 100, 20x20 tracked window thr 5 (the camera is now shrouded, so the background floor no longer needs a high threshold).
# config FSP: broad_order 512, broad_mu .03 -- REVERTED from PAR-2's 128/.005, which was 60% worse on y and 10% on x once normalised for the environment. 128 taps = 29.6 Hz resolution cannot separate the 2-3 Hz-spaced 9-30 Hz comb; this reproduces the documented kalman order-80 failure (order 80 ~29 Hz could not represent the 2.256 Hz comb). broad_lp 5 (retuned: the shorter delay moved the regeneration band from ~325 Hz to ~700 Hz); adapt_period 8, adapt_tau 5. Guard ON (guard_ratio 4). Cold-start observer: pass_open false + broad_freeze_closed false, so no weight is derived from open-loop data; drift_tau and the transient path are OFF. Modal freqs re-derived from run 1's own open PSD (8-mode cap), though they are inert while broad_order > 0.
# config PURPOSE: PAR-1 and PAR-2 were an hour apart and the environment moved between them (y open 5-10 Hz rose 4x), so this repeats PAR-1's exact controller to confirm the baseline and bound the run-to-run spread before any further tuning. PAR-1: y 0.518 -> 0.0804 px, x 0.496 -> 0.0966 px. PAR-2 (128/.005), normalised to PAR-1's environment: y 0.128, x 0.106; 60-150 Hz only 1.5x and the largest closed contributor on both axes; waterbed 3.4-3.5x at 195-250 Hz; no regeneration (400-800 Hz = 0.0% of command power).
# config DELAY AND K: BOTH re-fit for this transport 2026-07-30 from conf_bode_par_x/y.json (+/-100 mV sweep, full-band 5-300 Hz phase slope for tau, <=30 Hz plateau for K). Kx 3.787 +/- 0.008, Ky 3.636 +/- 0.005; delay x 2.717 fr, y 2.577 fr at fs 3788. Against the piplate era that is 4.7-5.5x MORE loop gain and LESS THAN HALF the delay -- the shorter delay is the entire reason to expect better rejection here.
# config COMPARE against attenuation_fsp21 and attenuation_fsp15 (run 15: y 0.073 / x 0.168 px): report total and per-band closed RMS, 60-400 Hz waterbed, command/clamp behavior, and transient activation count on the shared 500/500/4096 grid. Closed RMS in PIXELS remains comparable across the change; command units do not. refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.25557e-07 1.49329e-09 -19.247 2.07554e-07 2.9303e-09 -18.5022
0.924889 6.28577e-07 1.26694e-08 -16.956 1.38425e-06 6.63054e-09 -23.1966
1.84978 1.1066e-07 9.41512e-09 -10.7016 2.4986e-07 1.40451e-08 -12.5017
2.77467 3.747e-08 1.07093e-08 -5.43924 5.87103e-08 2.70418e-08 -3.36678
3.69955 5.48891e-08 1.66691e-08 -5.17574 4.76293e-08 3.83206e-08 -0.944417
4.62444 8.13904e-07 6.38855e-08 -11.0517 1.42315e-07 7.3007e-08 -2.89887
5.54933 8.9785e-06 3.90699e-07 -13.6136 1.8409e-06 2.96623e-07 -7.92825
6.47422 6.61364e-06 2.71486e-07 -13.8669 2.62604e-06 2.86895e-07 -9.61578
7.39911 3.38341e-07 4.362e-08 -8.89668 1.19586e-06 1.40511e-07 -9.29973
8.324 1.36663e-06 6.80781e-08 -13.0264 9.13669e-06 5.48636e-07 -12.215
9.24889 8.28785e-06 1.69868e-07 -16.8833 2.24327e-05 9.20326e-07 -13.8694
10.1738 7.1642e-06 9.8333e-08 -18.6247 1.15031e-05 2.64024e-07 -16.3917
11.0987 4.78174e-06 9.25165e-08 -17.1337 8.94146e-06 1.6283e-07 -17.3967
12.0236 1.616e-05 3.00278e-07 -17.3092 2.52045e-05 6.07243e-07 -16.1811
12.9484 8.30808e-06 1.63976e-07 -17.0472 2.01076e-05 6.30342e-07 -15.0378
13.8733 9.00812e-07 3.58567e-08 -14.0006 6.59028e-06 2.72185e-07 -13.8404
14.7982 2.46534e-07 1.64383e-08 -11.7602 1.4514e-06 7.28334e-08 -12.9946
15.7231 2.3974e-07 1.77123e-08 -11.3147 7.78351e-07 3.37251e-08 -13.6322
16.648 6.7786e-07 2.80372e-08 -13.8341 5.35046e-07 2.35698e-08 -13.5603
17.5729 1.42588e-06 4.68762e-08 -14.8313 9.19544e-07 4.01347e-08 -13.6005
18.4978 6.39678e-06 6.79825e-08 -19.7356 5.02984e-06 1.46591e-07 -15.3545
19.4227 2.52081e-05 1.70771e-07 -21.6913 1.93075e-05 5.15563e-07 -15.7344
20.3476 4.35916e-05 8.89095e-08 -26.9045 2.8738e-05 1.94156e-07 -21.7031
21.2724 0.000133441 1.03731e-07 -31.0938 8.78389e-05 1.34142e-07 -28.1612
22.1973 5.69232e-05 7.16089e-08 -29.0032 3.56904e-05 1.57054e-07 -23.565
23.1222 2.37373e-05 7.54618e-08 -24.977 8.38609e-06 1.7824e-07 -16.7255
24.0471 1.16702e-05 6.98857e-08 -22.2269 2.22597e-06 1.23043e-07 -12.5746
24.972 1.46439e-05 1.01853e-07 -21.5768 2.46948e-06 2.40474e-07 -10.1154
25.8969 2.46767e-05 1.30967e-07 -22.7513 4.43342e-06 3.9362e-07 -10.5166
26.8218 3.3704e-05 9.65709e-08 -25.4284 5.34805e-06 2.64171e-07 -13.0631
27.7467 3.05751e-05 6.03256e-08 -27.0487 3.72227e-06 9.25675e-08 -16.0435
28.6715 1.70002e-05 5.67227e-08 -24.767 1.28642e-06 1.3793e-07 -9.69724
29.5964 4.37924e-05 1.32481e-07 -25.1924 3.12045e-06 6.33935e-07 -6.92173
30.5213 1.41081e-05 4.64375e-08 -24.826 1.15657e-06 2.52792e-07 -6.6041
31.4462 1.49912e-07 3.94329e-09 -15.7998 7.03083e-08 1.98936e-08 -5.48294
32.3711 7.59057e-08 5.73217e-09 -11.2196 6.55813e-08 4.05866e-08 -2.08397
33.296 6.03737e-08 9.74703e-09 -7.91975 7.66157e-08 5.64338e-08 -1.32778
34.2209 5.29849e-08 1.59604e-08 -5.21109 8.94199e-08 6.03018e-08 -1.71104
35.1458 1.36095e-07 6.93383e-08 -2.92871 3.68427e-07 3.09798e-07 -0.752725
36.0707 1.28028e-07 6.45871e-08 -2.97159 3.61579e-07 2.87555e-07 -0.994824
