# fs_open=3788.23 fs_closed=3787.03 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-30 15:42:44
# pixel_scale=15.5
# stat 0 0.118291 0.0610108 -0.000113615 0.00804521
# stat 1 0.0689806 0.0277035 -0.00017535 0.00628915
# config ATTENUATION PAR-2 -- second closed-loop attenuation run through the PARPORT DAC (TI DAC81404 over the StarTech PEX1P2 / AX99100 PCIe parallel card, spi link, mmio backend), replacing the DAQC2/BRIDGEplate serial path used by every previous attenuation run.
# config TRANSPORT: bit-banged 24-bit SPI, ~6.4 us per channel update (~12.8 us for both channels), against the BRIDGEplate's ~0.5-1.4 ms. DAC range is FIXED at +-5 V bipolar (153 uV/LSB) with the mirror parked at 0 V, matching the bode sweeps exactly; auto-ranging is off, so the actuator is a fixed-gain element for both phases of the A/B and the open/closed comparison is clean. Supplies +/-12 V: AVDD needs VMAX+1.5 = 11.5 V for +-10, AVSS -11.5 V, leaving only 0.5 V of margin -- meter the rails under load. AVSS is therefore NEGATIVE, not grounded, which means the 0-5 base range runs outside the AVSS = 0 V condition SLASEH2A 7.5 gives the unipolar figures at (see _avss_tradeoff); 16-bit = 76 uV/LSB in 0-5, 305 uV/LSB in +-10, vs the BRIDGEplate's 12-bit 1 mV.
# config OUTPUTS: two channels, no coarse stage -- ch0 = y/tip (+1.0 V/unit), ch1 = x/tilt (-1.0 V/unit), offset 0 V, symmetric command bounds +-1 V (59 px of authority against a +-16 px ROI; the mirror's full range is deliberately NOT given to the loop on this first run). NOTE the command->FSM voltage mapping is NOT the same as any previous attenuation run, so K is not comparable across the transport change and was re-measured -- and it came out 4.7-5.5x HIGHER, not lower as this file originally predicted, so nothing about the piplate-era gains carries over.
# config Camera/CoM: 32x32 ROI start_x 1840 / start_y 680, exposure 50, gain 100, bw 100, 20x20 tracked window thr 5 (the camera is now shrouded, so the background floor no longer needs a high threshold).
# config FSP: broad_order 128, broad_mu .005 (the attenuation12 point; run 1 used the superseded attenuation11 512/.03), broad_lp 5 (retuned: the shorter delay moved the regeneration band from ~325 Hz to ~700 Hz); adapt_period 8, adapt_tau 5. Guard ON (guard_ratio 4). Cold-start observer: pass_open false + broad_freeze_closed false, so no weight is derived from open-loop data; drift_tau and the transient path are OFF. Modal freqs re-derived from run 1's own open PSD (8-mode cap), though they are inert while broad_order > 0.
# config RUN 1 RESULT TO BEAT (attenuation_par_fsp1, same config except 512/.03): y 0.518 -> 0.0804 px, x 0.496 -> 0.0966 px; 60-150 Hz only 1.5x and the largest closed contributor on both axes; waterbed 3.4-3.5x at 195-250 Hz; no regeneration (400-800 Hz = 0.0% of command power).
# config DELAY AND K: BOTH re-fit for this transport 2026-07-30 from conf_bode_par_x/y.json (+/-100 mV sweep, full-band 5-300 Hz phase slope for tau, <=30 Hz plateau for K). Kx 3.787 +/- 0.008, Ky 3.636 +/- 0.005; delay x 2.717 fr, y 2.577 fr at fs 3788. Against the piplate era that is 4.7-5.5x MORE loop gain and LESS THAN HALF the delay -- the shorter delay is the entire reason to expect better rejection here.
# config COMPARE against attenuation_fsp21 and attenuation_fsp15 (run 15: y 0.073 / x 0.168 px): report total and per-band closed RMS, 60-400 Hz waterbed, command/clamp behavior, and transient activation count on the shared 500/500/4096 grid. Closed RMS in PIXELS remains comparable across the change; command units do not. refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 3.68814e-06 4.2672e-09 -29.3666 1.91047e-06 2.09941e-09 -29.5904
0.924567 9.51756e-06 3.37261e-09 -34.5056 9.75418e-06 5.24313e-09 -32.696
1.84913 4.71707e-06 1.25697e-09 -35.7435 4.82425e-06 4.75889e-09 -30.0592
2.7737 1.23089e-06 1.10972e-09 -30.4501 1.22257e-06 4.3429e-09 -24.4949
3.69827 1.62298e-06 2.24648e-09 -28.5881 5.27009e-07 3.41572e-09 -21.8834
4.62284 9.26374e-05 7.1312e-08 -31.1362 1.48401e-05 4.26461e-09 -35.4156
5.5474 0.000984269 7.98903e-07 -30.9062 0.000137288 2.75634e-08 -36.973
6.47197 0.000670452 5.42834e-07 -30.917 9.94379e-05 3.10401e-08 -35.0563
7.39654 3.93869e-05 2.50007e-08 -31.974 1.47463e-05 3.14991e-08 -26.7039
8.3211 5.5836e-06 1.79014e-07 -14.9403 1.39025e-05 3.09512e-07 -16.5241
9.24567 8.66884e-06 8.66455e-07 -10.0021 2.97399e-05 8.23176e-07 -15.5785
10.1702 5.67526e-06 6.37622e-07 -9.49422 1.24705e-05 4.56262e-07 -14.3667
11.0948 3.83906e-06 6.53172e-07 -7.69197 7.83542e-06 4.5571e-07 -12.3537
12.0194 1.18309e-05 2.39091e-06 -6.94456 1.91194e-05 1.24267e-06 -11.8712
12.9439 5.63372e-06 1.04999e-06 -7.2961 1.92272e-05 8.71236e-07 -13.4378
13.8685 7.69866e-07 7.77957e-08 -9.95459 8.43836e-06 2.84474e-07 -14.7222
14.7931 2.70091e-07 2.63375e-08 -10.1094 1.92007e-06 5.88774e-08 -15.1337
15.7176 2.87852e-07 3.23081e-08 -9.49859 1.05161e-06 2.66658e-08 -15.959
16.6422 7.38349e-07 7.28374e-08 -10.0591 5.65163e-07 1.22303e-08 -16.6474
17.5668 1.43602e-06 1.27892e-07 -10.5032 9.29996e-07 1.60367e-08 -17.6337
18.4913 7.46788e-06 3.73736e-07 -13.0063 6.57633e-06 3.93017e-08 -22.2357
19.4159 2.97505e-05 1.40004e-06 -13.2735 2.62052e-05 1.39624e-07 -22.7343
20.3405 4.37118e-05 1.27826e-06 -15.3398 3.1152e-05 1.14926e-07 -24.3307
21.265 0.000141376 2.87498e-06 -16.9174 9.72028e-05 2.4948e-07 -25.9064
22.1896 6.41778e-05 9.85497e-07 -18.1373 4.23223e-05 1.56182e-07 -24.3294
23.1142 2.22386e-05 1.26433e-07 -22.4525 8.91314e-06 8.83298e-08 -20.0392
24.0387 1.03272e-05 5.57542e-08 -22.677 2.26488e-06 6.80948e-08 -15.2193
24.9633 1.43067e-05 2.1803e-07 -18.1702 2.58069e-06 1.36314e-07 -12.772
25.8879 2.47684e-05 7.22718e-07 -15.3493 4.67622e-06 3.00276e-07 -11.9237
26.8124 3.59178e-05 2.06033e-06 -12.4137 5.81527e-06 5.86938e-07 -9.95978
27.737 3.25014e-05 2.33873e-06 -11.4292 4.05314e-06 5.0102e-07 -9.07937
28.6616 1.65245e-05 1.69565e-06 -9.88794 1.36549e-06 2.01682e-07 -8.30622
29.5861 3.69093e-05 5.2716e-06 -8.45193 2.799e-06 5.89936e-07 -6.76198
30.5107 1.26761e-05 1.83651e-06 -8.38993 1.12463e-06 2.27981e-07 -6.9311
31.4353 1.68031e-07 3.20334e-08 -7.19787 7.97963e-08 9.77982e-09 -9.11652
32.3598 8.21193e-08 2.3599e-08 -5.41551 7.67426e-08 1.16399e-08 -8.19089
