# fs_open=3788.23 fs_closed=3788.2 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-31 12:46:35
# pixel_scale=15.5
# stat 0 0.383735 0.0356426 -9.47007e-06 0.00829354
# stat 1 0.0281482 0.0272606 -2.31352e-05 0.00657994
# config ATTENUATION PAR-4 -- CONVERGED baseline at the CORRECTED small-signal Kx: PAR-3's controller with settle_time raised 120 -> 600 s and Kx re-fit 3.787 -> 4.05, through the PARPORT DAC (TI DAC81404 over the StarTech PEX1P2 / AX99100 PCIe parallel card, spi link, mmio backend), replacing the DAQC2/BRIDGEplate serial path used by every previous attenuation run.
# config TRANSPORT: bit-banged 24-bit SPI, ~6.4 us per channel update (~12.8 us for both channels), against the BRIDGEplate's ~0.5-1.4 ms. DAC range is FIXED at +-5 V bipolar (153 uV/LSB) with the mirror parked at 0 V, matching the bode sweeps exactly; auto-ranging is off, so the actuator is a fixed-gain element for both phases of the A/B and the open/closed comparison is clean. Supplies +/-12 V: AVDD needs VMAX+1.5 = 11.5 V for +-10, AVSS -11.5 V, leaving only 0.5 V of margin -- meter the rails under load. AVSS is therefore NEGATIVE, not grounded, which means the 0-5 base range runs outside the AVSS = 0 V condition SLASEH2A 7.5 gives the unipolar figures at (see _avss_tradeoff); 16-bit = 76 uV/LSB in 0-5, 305 uV/LSB in +-10, vs the BRIDGEplate's 12-bit 1 mV.
# config OUTPUTS: two channels, no coarse stage -- ch0 = y/tip (+1.0 V/unit), ch1 = x/tilt (-1.0 V/unit), offset 0 V, symmetric command bounds +-1 V (59 px of authority against a +-16 px ROI; the mirror's full range is deliberately NOT given to the loop on this first run). NOTE the command->FSM voltage mapping is NOT the same as any previous attenuation run, so K is not comparable across the transport change and was re-measured -- and it came out 4.7-5.5x HIGHER, not lower as this file originally predicted, so nothing about the piplate-era gains carries over.
# config Camera/CoM: 32x32 ROI start_x 1816 / start_y 684, exposure 50, gain 100, bw 100, 20x20 tracked window thr 5 (the camera is now shrouded, so the background floor no longer needs a high threshold). Identical to conf_bode_par_x/y[_small].json, so K and tau were fit through exactly this optical chain.
# config FSP: broad_order 512, broad_mu .03 -- REVERTED from PAR-2's 128/.005, which was 60% worse on y and 10% on x once normalised for the environment. 128 taps = 29.6 Hz resolution cannot separate the 2-3 Hz-spaced 9-30 Hz comb; this reproduces the documented kalman order-80 failure (order 80 ~29 Hz could not represent the 2.256 Hz comb). broad_lp 5 (retuned: the shorter delay moved the regeneration band from ~325 Hz to ~700 Hz); adapt_period 8, adapt_tau 5. Guard ON (guard_ratio 4). Cold-start observer: pass_open false + broad_freeze_closed false, so no weight is derived from open-loop data; drift_tau and the transient path are OFF. Modal freqs re-derived from run 1's own open PSD (8-mode cap), though they are inert while broad_order > 0.
# config PURPOSE: two defects in PAR-3, both fixed here. (1) The residual was still falling 500 s after closure (y asymptote 0.0404 px, tau 255 s), so its 500 s average scored a mostly-unconverged controller -- settle_time is now 600 s. (2) Kx was the +-100 mV figure 3.787 while the loop commands ~20 mV peak, where the plant reads 4.05, so x was over-commanded ~7%; that is the sign PAR-3 itself showed (x disturbance 28% above the open-phase error, x closed-window bound above the open-window one) and y, which is linear over 8-100 mV and did not move, is the control. This is the first number worth tuning against. Prior 500 s averages: PAR-1: y 0.518 -> 0.0804 px, x 0.496 -> 0.0966 px. PAR-2 (128/.005), normalised to PAR-1's environment: y 0.128, x 0.106; 60-150 Hz only 1.5x and the largest closed contributor on both axes; waterbed 3.4-3.5x at 195-250 Hz; no regeneration (400-800 Hz = 0.0% of command power).
# config DELAY AND K: taken from different sweeps on purpose. DELAY from the newest full 5-300 Hz sweeps, fsm_bodex_par2 / fsm_bodey_par2 (2026-07-31 12:23 / 12:16): x 2.763 fr (tau 0.4654 ms), y 2.624 fr (tau 0.4288 ms) at fs 3788. PAR-1..3 ran 2.717 / 2.577; the +0.046 fr shift sits inside the fits' own phase residuals, so the two sweep pairs agree and the newer/longer value is kept only because under-modeled delay is the documented failure mode. K from the SMALL-SIGNAL plateau: Kx 4.05, Ky 3.646. That distinction is not academic -- the loop commands ~6 mV rms / ~20 mV peak and the FSM compresses ~4% at +-100 mV, but WHICH AXIS compresses moves between days: on 07-30 it was x (100/50 mV ratio 1.041, y flat at 0.998), on 07-31 it was y (ratio 1.039, x flat at 1.003). The raw 07-31 fit lines therefore read Kx 4.050 (correct) and Ky 3.510 (3.7% low), and PAR-4 uses 3.646 for y from the +-20 mV sweep, corroborated by the same full file's +-50 mV pass at 3.662. Conversely tau is NOT measurable from a small sweep -- 10-30 Hz spans ~7 deg of phase and their loop_frames scatters 1.09-2.02 fr -- which is why delay comes only from the full sweeps. Against the piplate era this is ~5x MORE loop gain and LESS THAN HALF the delay; the shorter delay is the entire reason to expect better rejection here. Caveat: the small-signal gain itself wanders a few percent per hour (seven +-20 mV x sweeps read 3.97-4.36, each internally consistent), and erring HIGH on K is the safe direction since u = -phi_hat/K.
# config COMPARE against attenuation_fsp21 and attenuation_fsp15 (run 15: y 0.073 / x 0.168 px): report total and per-band closed RMS, 60-400 Hz waterbed, command/clamp behavior, and transient activation count on the shared 500/500/4096 grid. Closed RMS in PIXELS remains comparable across the change; command units do not. refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.67934e-07 8.97498e-09 -12.7211 2.94194e-07 1.45137e-09 -23.0685
0.924854 6.7933e-07 4.08246e-09 -22.2116 1.76024e-06 1.44155e-09 -30.8674
1.84971 1.0288e-07 6.88141e-10 -21.7465 3.45173e-07 1.0404e-09 -25.2083
2.77456 3.99915e-08 2.99844e-09 -11.2507 9.42155e-08 1.98306e-09 -16.7679
3.69942 7.74847e-08 1.26531e-08 -7.8702 8.52481e-08 4.43317e-09 -12.8397
4.62427 9.80809e-07 3.15417e-07 -4.927 2.00915e-07 2.12662e-08 -9.75323
5.54912 8.41562e-06 3.30525e-06 -4.05882 1.32858e-06 1.79387e-07 -8.69597
6.47398 5.79467e-06 2.42403e-06 -3.7849 1.39731e-06 2.16529e-07 -8.09776
7.39883 4.76353e-07 1.66752e-07 -4.55858 3.26204e-06 1.78179e-07 -12.6263
8.32369 6.39696e-06 3.90535e-07 -12.1431 3.67843e-05 4.36141e-07 -19.2604
9.24854 4.31239e-05 1.41102e-06 -14.8518 0.000106598 4.40195e-07 -23.841
10.1734 2.94926e-05 7.9026e-07 -15.7194 4.81946e-05 1.19408e-07 -26.0596
11.0982 6.98865e-06 3.67749e-07 -12.7884 1.41589e-05 1.35455e-07 -20.1924
12.0231 1.981e-05 1.70748e-06 -10.6453 3.33205e-05 4.16304e-07 -19.033
12.948 9.02634e-06 9.67392e-07 -9.6991 2.62208e-05 3.42917e-07 -18.8346
13.8728 1.03392e-06 1.77278e-07 -7.65831 9.81866e-06 1.18294e-07 -19.1909
14.7977 3.34134e-07 8.60549e-08 -5.89145 2.4229e-06 2.86163e-08 -19.2772
15.7225 3.04556e-07 8.91558e-08 -5.33518 1.29366e-06 2.06929e-08 -17.96
16.6474 8.39373e-07 1.51904e-07 -7.42386 7.83257e-07 3.32539e-08 -13.7206
17.5722 1.5503e-06 2.20762e-07 -8.46492 1.19447e-06 7.56196e-08 -11.9854
18.4971 6.47057e-06 1.50319e-07 -16.3393 6.77308e-06 1.91595e-07 -15.484
19.4219 2.49091e-05 3.63393e-07 -18.3598 2.58581e-05 5.90988e-07 -16.4102
20.3468 4.69851e-05 2.33325e-07 -23.04 3.71541e-05 2.61137e-07 -21.5314
21.2716 0.000141062 3.89892e-07 -25.5847 0.000108131 1.33097e-07 -29.0978
22.1965 6.2613e-05 2.20476e-07 -24.533 4.87288e-05 1.57508e-07 -24.9048
23.1213 2.55093e-05 1.97734e-07 -21.1062 1.22718e-05 1.71458e-07 -18.5475
24.0462 1.49889e-05 2.01856e-07 -18.7073 3.18654e-06 1.15707e-07 -14.3996
24.9711 1.92633e-05 3.88719e-07 -16.951 4.00012e-06 1.79196e-07 -13.4874
25.8959 3.19563e-05 6.83725e-07 -16.6967 7.03484e-06 2.36383e-07 -14.7364
26.8208 2.97305e-05 6.48753e-07 -16.6112 5.9941e-06 1.36981e-07 -16.4106
27.7456 1.81846e-05 2.73915e-07 -18.2209 2.94588e-06 5.01964e-08 -17.6854
28.6705 1.01001e-05 2.11319e-07 -16.7939 9.85146e-07 1.12179e-07 -9.43589
29.5953 2.38201e-05 7.5756e-07 -14.9753 2.05974e-06 4.094e-07 -7.01664
30.5202 6.93715e-06 2.54194e-07 -14.3602 7.08944e-07 1.46714e-07 -6.84139
31.445 1.27593e-07 2.07024e-08 -7.89805 1.47101e-07 2.69169e-08 -7.37591
32.3699 1.25635e-07 6.46223e-08 -2.88728 1.88404e-07 6.2848e-08 -4.76798
33.2947 2.73936e-07 2.13189e-07 -1.08883 2.4067e-07 1.00172e-07 -3.80675
34.2196 3.31477e-07 2.78727e-07 -0.752741 2.38547e-07 9.51256e-08 -3.99277
35.1444 3.54882e-07 1.92216e-07 -2.66295 5.6559e-07 2.07804e-07 -4.34848
36.0693 2.36179e-07 1.16349e-07 -3.0748 5.10478e-07 1.6615e-07 -4.87477
36.9942 8.65209e-08 3.35433e-08 -4.11516 1.73203e-07 2.12463e-08 -9.11273
37.919 1.93532e-07 9.3988e-08 -3.1368 3.44764e-07 5.13935e-08 -8.26614
38.8439 9.56989e-07 3.4313e-07 -4.45449 1.07312e-06 1.44972e-07 -8.69365
39.7687 1.77277e-06 5.03562e-07 -5.46599 1.35049e-06 2.01736e-07 -8.25706
40.6936 1.73981e-06 4.96693e-07 -5.44414 1.06587e-06 2.04433e-07 -7.17152
41.6184 1.0735e-06 3.21586e-07 -5.23503 5.07722e-07 1.0687e-07 -6.76771
42.5433 2.23629e-07 7.90383e-08 -4.5169 1.43875e-07 2.75181e-08 -7.18366
43.4681 6.59862e-08 3.49996e-08 -2.75391 7.52709e-08 1.55896e-08 -6.83791
44.393 9.22798e-08 6.42677e-08 -1.57114 6.19104e-08 2.09324e-08 -4.70944
45.3178 1.25584e-07 1.11415e-07 -0.519919 6.40259e-08 3.75743e-08 -2.31465
46.2427 1.36699e-07 1.36482e-07 -0.00688859 7.66858e-08 7.51749e-08 -0.0864194
47.1676 1.32158e-07 1.42359e-07 0.322906 9.46253e-08 1.48909e-07 1.96915
48.0924 1.48411e-07 1.67574e-07 0.527398 1.40413e-07 2.60893e-07 2.69055
49.0173 1.24972e-07 1.35278e-07 0.34415 2.06957e-07 2.70631e-07 1.16498
49.9421 8.53238e-08 7.93113e-08 -0.317351 2.42158e-07 1.76585e-07 -1.37144
